transaction_id,date_id,date,year,quarter,month,month_name,product_id,product_name,category,customer_id,company_name,segment,region,salesperson_id,salesperson_name,seniority,quantity,revenue,cost,profit,margin_pct
T00001,645,2023-10-07,2023,4,10,October,P006,Laptop,Hardware,C0027,Araújo Ltda.,SMB,Central,S005,Joaquim Casa Grande,Mid,4,8950.6,2864.19,6086.41,68.0
T00002,233,2022-08-21,2022,3,8,August,P005,Cloud Storage,Software,C0052,Cavalcante,Mid-Market,South,S002,Luiz Gustavo Barros,Mid,19,61813.46,28434.19,33379.27,54.0
T00003,524,2023-06-08,2023,2,6,June,P018,Enterprise Plan,Subscriptions,C0146,Jesus,SMB,East,S022,Sr. Mateus Abreu,Mid,18,32142.6,15107.02,17035.58,53.0
T00004,346,2022-12-12,2022,4,12,December,P015,Audit,Services,C0091,Fernandes - ME,Enterprise,South,S016,Sophia Sampaio,Mid,6,12596.4,6928.02,5668.38,45.0
T00005,1070,2024-12-05,2024,4,12,December,P006,Laptop,Hardware,C0086,Ferreira da Cruz Ltda.,SMB,East,S023,Caleb Duarte,Senior,19,42515.35,13604.91,28910.44,68.0
T00006,546,2023-06-30,2023,2,6,June,P019,Add-on Pack,Subscriptions,C0016,Pires,SMB,South,S030,Vinicius Martins,Mid,4,4665.72,2659.46,2006.26,43.0
T00007,794,2024-03-04,2024,1,3,March,P001,ERP License,Software,C0066,Sousa e Filhos,SMB,South,S015,Liam da Cunha,Mid,4,8741.72,3059.6,5682.12,65.0
T00008,249,2022-09-06,2022,3,9,September,P001,ERP License,Software,C0005,Monteiro Santos S.A.,SMB,Central,S011,Dr. Vitor Gabriel Caldeira,Mid,7,15298.01,5354.3,9943.71,65.0
T00009,47,2022-02-16,2022,1,2,February,P013,Support,Services,C0082,Teixeira,Enterprise,East,S029,Rhavi Fernandes,Junior,7,118420.96,47368.38,71052.58,60.0
T00010,214,2022-08-02,2022,3,8,August,P003,BI Tool,Software,C0131,Lima Cirino e Filhos,SMB,North,S006,Dr. Antony Souza,Junior,16,9482.08,3413.55,6068.53,64.0
T00011,239,2022-08-27,2022,3,8,August,P010,Network Switch,Hardware,C0118,Cavalcante,SMB,South,S013,Maria Isis Sousa,Mid,16,48709.12,17535.28,31173.84,64.0
T00012,1080,2024-12-15,2024,4,12,December,P003,BI Tool,Software,C0081,Silveira,Mid-Market,West,S030,Vinicius Martins,Mid,5,2963.15,1066.73,1896.42,64.0
T00013,350,2022-12-16,2022,4,12,December,P009,Printer,Hardware,C0070,Pacheco e Filhos,SMB,West,S019,Alexia das Neves,Mid,15,65479.05,25536.83,39942.22,61.0
T00014,107,2022-04-17,2022,2,4,April,P008,Monitor,Hardware,C0115,da Costa,SMB,Central,S010,Dra. Clarice Moraes,Junior,4,11972.88,5387.8,6585.08,55.0
T00015,831,2024-04-10,2024,2,4,April,P003,BI Tool,Software,C0007,Almeida,Mid-Market,West,S024,Vicente Ribeiro,Mid,13,7704.19,2773.51,4930.68,64.0
T00016,48,2022-02-17,2022,1,2,February,P013,Support,Services,C0050,Nogueira Alves - EI,Mid-Market,North,S019,Alexia das Neves,Mid,19,321428.32,128571.33,192856.99,60.0
T00017,337,2022-12-03,2022,4,12,December,P006,Laptop,Hardware,C0142,Fonseca Ltda.,SMB,West,S030,Vinicius Martins,Mid,7,15663.55,5012.34,10651.21,68.0
T00018,1050,2024-11-15,2024,4,11,November,P013,Support,Services,C0166,Sá Peixoto - ME,SMB,South,S005,Joaquim Casa Grande,Mid,12,203007.36,81202.94,121804.42,60.0
T00019,804,2024-03-14,2024,1,3,March,P020,API Access,Subscriptions,C0111,Ferreira,SMB,Central,S025,Bella Fernandes,Junior,9,1334.7,453.8,880.9,66.0
T00020,8,2022-01-08,2022,1,1,January,P020,API Access,Subscriptions,C0047,Duarte,SMB,South,S027,Helena Pimenta,Mid,17,2521.1,857.17,1663.93,66.0
T00021,625,2023-09-17,2023,3,9,September,P012,Implementation,Services,C0112,da Costa,SMB,West,S021,Ana Luiza Cunha,Senior,2,11055.38,4532.71,6522.67,59.0
T00022,719,2023-12-20,2023,4,12,December,P013,Support,Services,C0161,Sousa,SMB,West,S007,Rebeca Moraes,Junior,16,270676.48,108270.59,162405.89,60.0
T00023,303,2022-10-30,2022,4,10,October,P002,CRM License,Software,C0043,da Rosa,Mid-Market,West,S011,Dr. Vitor Gabriel Caldeira,Mid,7,8413.86,4627.62,3786.24,45.0
T00024,639,2023-10-01,2023,4,10,October,P016,Basic Plan,Subscriptions,C0091,Fernandes - ME,Enterprise,South,S014,Maria Julia Marques,Mid,18,14059.44,4780.21,9279.23,66.0
T00025,56,2022-02-25,2022,1,2,February,P006,Laptop,Hardware,C0029,Pacheco Rios S/A,Enterprise,North,S023,Caleb Duarte,Senior,7,15663.55,5012.34,10651.21,68.0
T00026,726,2023-12-27,2023,4,12,December,P019,Add-on Pack,Subscriptions,C0128,da Rosa,Mid-Market,West,S021,Ana Luiza Cunha,Senior,1,1166.43,664.87,501.56,43.0
T00027,526,2023-06-10,2023,2,6,June,P013,Support,Services,C0185,Silveira,SMB,South,S016,Sophia Sampaio,Mid,3,50751.84,20300.74,30451.1,60.0
T00028,474,2023-04-19,2023,2,4,April,P017,Pro Plan,Subscriptions,C0133,Nogueira,SMB,North,S018,Igor Nascimento,Junior,11,2428.36,995.63,1432.73,59.0
T00029,28,2022-01-28,2022,1,1,January,P009,Printer,Hardware,C0096,Cunha Caldeira - ME,Mid-Market,North,S021,Ana Luiza Cunha,Senior,15,65479.05,25536.83,39942.22,61.0
T00030,78,2022-03-19,2022,1,3,March,P017,Pro Plan,Subscriptions,C0188,da Paz Ltda.,SMB,South,S023,Caleb Duarte,Senior,3,662.28,271.53,390.75,59.0
T00031,365,2022-12-31,2022,4,12,December,P002,CRM License,Software,C0117,Nascimento da Luz Ltda.,Mid-Market,West,S023,Caleb Duarte,Senior,13,15625.74,8594.16,7031.58,45.0
T00032,666,2023-10-28,2023,4,10,October,P019,Add-on Pack,Subscriptions,C0070,Pacheco e Filhos,SMB,West,S004,Juan Fogaça,Senior,4,4665.72,2659.46,2006.26,43.0
T00033,526,2023-06-10,2023,2,6,June,P019,Add-on Pack,Subscriptions,C0130,Pereira,SMB,Central,S001,Dr. Luiz Otávio Monteiro,Mid,8,9331.44,5318.92,4012.52,43.0
T00034,699,2023-11-30,2023,4,11,November,P007,Server,Hardware,C0070,Pacheco e Filhos,SMB,West,S022,Sr. Mateus Abreu,Mid,4,8111.08,5191.09,2919.99,36.0
T00035,883,2024-06-01,2024,2,6,June,P010,Network Switch,Hardware,C0110,Borges,Enterprise,East,S029,Rhavi Fernandes,Junior,18,54797.76,19727.19,35070.57,64.0
T00036,1031,2024-10-27,2024,4,10,October,P010,Network Switch,Hardware,C0171,Brito,SMB,Central,S015,Liam da Cunha,Mid,7,21310.24,7671.69,13638.55,64.0
T00037,1027,2024-10-23,2024,4,10,October,P020,API Access,Subscriptions,C0132,Alves Ltda.,SMB,East,S014,Maria Julia Marques,Mid,11,1631.3,554.64,1076.66,66.0
T00038,919,2024-07-07,2024,3,7,July,P009,Printer,Hardware,C0056,Alves,Mid-Market,South,S019,Alexia das Neves,Mid,4,17461.08,6809.82,10651.26,61.0
T00039,750,2024-01-20,2024,1,1,January,P017,Pro Plan,Subscriptions,C0187,Pimenta Moura Ltda.,Mid-Market,South,S027,Helena Pimenta,Mid,13,2869.88,1176.65,1693.23,59.0
T00040,363,2022-12-29,2022,4,12,December,P015,Audit,Services,C0089,Fonseca Caldeira S.A.,SMB,Central,S005,Joaquim Casa Grande,Mid,9,18894.6,10392.03,8502.57,45.0
T00041,806,2024-03-16,2024,1,3,March,P002,CRM License,Software,C0137,Borges,Mid-Market,North,S004,Juan Fogaça,Senior,9,10817.82,5949.8,4868.02,45.0
T00042,739,2024-01-09,2024,1,1,January,P004,Security Suite,Software,C0131,Lima Cirino e Filhos,SMB,North,S013,Maria Isis Sousa,Mid,19,25181.08,10072.43,15108.65,60.0
T00043,1039,2024-11-04,2024,4,11,November,P019,Add-on Pack,Subscriptions,C0176,Alves da Cunha S.A.,SMB,North,S018,Igor Nascimento,Junior,3,3499.29,1994.6,1504.69,43.0
T00044,485,2023-04-30,2023,2,4,April,P017,Pro Plan,Subscriptions,C0171,Brito,SMB,Central,S012,Danilo Fonseca,Mid,12,2649.12,1086.14,1562.98,59.0
T00045,28,2022-01-28,2022,1,1,January,P005,Cloud Storage,Software,C0100,Machado das Neves - EI,SMB,South,S023,Caleb Duarte,Senior,11,35786.74,16461.9,19324.84,54.0
T00046,714,2023-12-15,2023,4,12,December,P007,Server,Hardware,C0129,Teixeira S/A,SMB,North,S030,Vinicius Martins,Mid,11,22305.47,14275.5,8029.97,36.0
T00047,1063,2024-11-28,2024,4,11,November,P018,Enterprise Plan,Subscriptions,C0057,Campos Ltda.,SMB,West,S021,Ana Luiza Cunha,Senior,17,30356.9,14267.74,16089.16,53.0
T00048,86,2022-03-27,2022,1,3,March,P007,Server,Hardware,C0181,Vargas das Neves S/A,SMB,Central,S015,Liam da Cunha,Mid,14,28388.78,18168.82,10219.96,36.0
T00049,126,2022-05-06,2022,2,5,May,P017,Pro Plan,Subscriptions,C0144,Lima,Mid-Market,Central,S030,Vinicius Martins,Mid,16,3532.16,1448.19,2083.97,59.0
T00050,812,2024-03-22,2024,1,3,March,P007,Server,Hardware,C0051,Mendonça,SMB,Central,S023,Caleb Duarte,Senior,10,20277.7,12977.73,7299.97,36.0
T00051,537,2023-06-21,2023,2,6,June,P004,Security Suite,Software,C0112,da Costa,SMB,West,S009,Guilherme Alves,Mid,4,5301.28,2120.51,3180.77,60.0
T00052,145,2022-05-25,2022,2,5,May,P008,Monitor,Hardware,C0104,Pinto - EI,SMB,North,S004,Juan Fogaça,Senior,10,29932.2,13469.49,16462.71,55.0
T00053,25,2022-01-25,2022,1,1,January,P013,Support,Services,C0127,Garcia,SMB,Central,S005,Joaquim Casa Grande,Mid,12,203007.36,81202.94,121804.42,60.0
T00054,67,2022-03-08,2022,1,3,March,P004,Security Suite,Software,C0055,Rodrigues,SMB,West,S009,Guilherme Alves,Mid,9,11927.88,4771.15,7156.73,60.0
T00055,233,2022-08-21,2022,3,8,August,P006,Laptop,Hardware,C0001,Fonseca e Filhos,Enterprise,Central,S013,Maria Isis Sousa,Mid,15,33564.75,10740.72,22824.03,68.0
T00056,109,2022-04-19,2022,2,4,April,P005,Cloud Storage,Software,C0090,Costela,Mid-Market,West,S010,Dra. Clarice Moraes,Junior,9,29280.06,13468.83,15811.23,54.0
T00057,111,2022-04-21,2022,2,4,April,P012,Implementation,Services,C0156,Pereira,SMB,West,S027,Helena Pimenta,Mid,7,38693.83,15864.47,22829.36,59.0
T00058,228,2022-08-16,2022,3,8,August,P004,Security Suite,Software,C0053,Garcia Guerra e Filhos,Enterprise,South,S016,Sophia Sampaio,Mid,12,15903.84,6361.54,9542.3,60.0
T00059,111,2022-04-21,2022,2,4,April,P009,Printer,Hardware,C0186,Peixoto Castro Ltda.,Enterprise,East,S030,Vinicius Martins,Mid,14,61113.78,23834.37,37279.41,61.0
T00060,34,2022-02-03,2022,1,2,February,P004,Security Suite,Software,C0073,Ramos,SMB,East,S013,Maria Isis Sousa,Mid,16,21205.12,8482.05,12723.07,60.0
T00061,623,2023-09-15,2023,3,9,September,P019,Add-on Pack,Subscriptions,C0188,da Paz Ltda.,SMB,South,S004,Juan Fogaça,Senior,19,22162.17,12632.44,9529.73,43.0
T00062,748,2024-01-18,2024,1,1,January,P014,Training,Services,C0187,Pimenta Moura Ltda.,Mid-Market,South,S021,Ana Luiza Cunha,Senior,3,49318.65,32057.12,17261.53,35.0
T00063,595,2023-08-18,2023,3,8,August,P005,Cloud Storage,Software,C0108,Santos,SMB,South,S013,Maria Isis Sousa,Mid,11,35786.74,16461.9,19324.84,54.0
T00064,425,2023-03-01,2023,1,3,March,P018,Enterprise Plan,Subscriptions,C0150,Pastor S.A.,SMB,West,S021,Ana Luiza Cunha,Senior,19,33928.3,15946.3,17982.0,53.0
T00065,613,2023-09-05,2023,3,9,September,P010,Network Switch,Hardware,C0008,Cassiano,SMB,South,S008,Hellena Cirino,Mid,8,24354.56,8767.64,15586.92,64.0
T00066,692,2023-11-23,2023,4,11,November,P019,Add-on Pack,Subscriptions,C0177,Castro,SMB,South,S013,Maria Isis Sousa,Mid,8,9331.44,5318.92,4012.52,43.0
T00067,315,2022-11-11,2022,4,11,November,P012,Implementation,Services,C0042,Câmara,Mid-Market,North,S015,Liam da Cunha,Mid,3,16583.07,6799.06,9784.01,59.0
T00068,877,2024-05-26,2024,2,5,May,P018,Enterprise Plan,Subscriptions,C0155,Ramos Aragão S/A,Enterprise,East,S020,Joana Vieira,Mid,10,17857.0,8392.79,9464.21,53.0
T00069,662,2023-10-24,2023,4,10,October,P017,Pro Plan,Subscriptions,C0167,Vargas,SMB,South,S020,Joana Vieira,Mid,13,2869.88,1176.65,1693.23,59.0
T00070,277,2022-10-04,2022,4,10,October,P011,Consulting,Services,C0025,Monteiro - EI,Mid-Market,South,S013,Maria Isis Sousa,Mid,9,170198.82,86801.4,83397.42,49.0
T00071,624,2023-09-16,2023,3,9,September,P003,BI Tool,Software,C0038,Alves,SMB,North,S023,Caleb Duarte,Senior,6,3555.78,1280.08,2275.7,64.0
T00072,516,2023-05-31,2023,2,5,May,P017,Pro Plan,Subscriptions,C0085,Aragão,Mid-Market,South,S027,Helena Pimenta,Mid,15,3311.4,1357.67,1953.73,59.0
T00073,843,2024-04-22,2024,2,4,April,P001,ERP License,Software,C0152,Monteiro,Mid-Market,South,S005,Joaquim Casa Grande,Mid,16,34966.88,12238.41,22728.47,65.0
T00074,350,2022-12-16,2022,4,12,December,P015,Audit,Services,C0024,Machado Peixoto S/A,Enterprise,North,S022,Sr. Mateus Abreu,Mid,5,10497.0,5773.35,4723.65,45.0
T00075,823,2024-04-02,2024,2,4,April,P009,Printer,Hardware,C0060,Aparecida S.A.,SMB,East,S022,Sr. Mateus Abreu,Mid,13,56748.51,22131.92,34616.59,61.0
T00076,759,2024-01-29,2024,1,1,January,P015,Audit,Services,C0178,Vieira,SMB,South,S028,Ana Luiza Azevedo,Mid,19,39888.6,21938.73,17949.87,45.0
T00077,899,2024-06-17,2024,2,6,June,P003,BI Tool,Software,C0111,Ferreira,SMB,Central,S006,Dr. Antony Souza,Junior,2,1185.26,426.69,758.57,64.0
T00078,243,2022-08-31,2022,3,8,August,P019,Add-on Pack,Subscriptions,C0066,Sousa e Filhos,SMB,South,S030,Vinicius Martins,Mid,6,6998.58,3989.19,3009.39,43.0
T00079,543,2023-06-27,2023,2,6,June,P013,Support,Services,C0142,Fonseca Ltda.,SMB,West,S026,Vitor Hugo da Costa,Senior,1,16917.28,6766.91,10150.37,60.0
T00080,1064,2024-11-29,2024,4,11,November,P012,Implementation,Services,C0053,Garcia Guerra e Filhos,Enterprise,South,S005,Joaquim Casa Grande,Mid,15,82915.35,33995.29,48920.06,59.0
T00081,229,2022-08-17,2022,3,8,August,P020,API Access,Subscriptions,C0160,da Paz,Enterprise,Central,S013,Maria Isis Sousa,Mid,15,2224.5,756.33,1468.17,66.0
T00082,548,2023-07-02,2023,3,7,July,P001,ERP License,Software,C0106,Moreira - EI,Enterprise,South,S029,Rhavi Fernandes,Junior,14,30596.02,10708.61,19887.41,65.0
T00083,920,2024-07-08,2024,3,7,July,P017,Pro Plan,Subscriptions,C0096,Cunha Caldeira - ME,Mid-Market,North,S005,Joaquim Casa Grande,Mid,7,1545.32,633.58,911.74,59.0
T00084,6,2022-01-06,2022,1,1,January,P013,Support,Services,C0176,Alves da Cunha S.A.,SMB,North,S025,Bella Fernandes,Junior,5,84586.4,33834.56,50751.84,60.0
T00085,468,2023-04-13,2023,2,4,April,P001,ERP License,Software,C0039,Guerra,Mid-Market,Central,S013,Maria Isis Sousa,Mid,16,34966.88,12238.41,22728.47,65.0
T00086,75,2022-03-16,2022,1,3,March,P010,Network Switch,Hardware,C0168,Martins,SMB,South,S024,Vicente Ribeiro,Mid,17,51753.44,18631.24,33122.2,64.0
T00087,4,2022-01-04,2022,1,1,January,P015,Audit,Services,C0042,Câmara,Mid-Market,North,S020,Joana Vieira,Mid,11,23093.4,12701.37,10392.03,45.0
T00088,646,2023-10-08,2023,4,10,October,P007,Server,Hardware,C0111,Ferreira,SMB,Central,S023,Caleb Duarte,Senior,15,30416.55,19466.59,10949.96,36.0
T00089,118,2022-04-28,2022,2,4,April,P018,Enterprise Plan,Subscriptions,C0104,Pinto - EI,SMB,North,S008,Hellena Cirino,Mid,16,28571.2,13428.46,15142.74,53.0
T00090,881,2024-05-30,2024,2,5,May,P016,Basic Plan,Subscriptions,C0077,Cavalcanti,SMB,Central,S028,Ana Luiza Azevedo,Mid,3,2343.24,796.7,1546.54,66.0
T00091,504,2023-05-19,2023,2,5,May,P014,Training,Services,C0008,Cassiano,SMB,South,S009,Guilherme Alves,Mid,6,98637.3,64114.24,34523.06,35.0
T00092,947,2024-08-04,2024,3,8,August,P018,Enterprise Plan,Subscriptions,C0026,Lima,Mid-Market,North,S021,Ana Luiza Cunha,Senior,13,23214.1,10910.63,12303.47,53.0
T00093,574,2023-07-28,2023,3,7,July,P007,Server,Hardware,C0140,Almeida S/A,Enterprise,East,S019,Alexia das Neves,Mid,1,2027.77,1297.77,730.0,36.0
T00094,194,2022-07-13,2022,3,7,July,P017,Pro Plan,Subscriptions,C0043,da Rosa,Mid-Market,West,S029,Rhavi Fernandes,Junior,14,3090.64,1267.16,1823.48,59.0
T00095,847,2024-04-26,2024,2,4,April,P018,Enterprise Plan,Subscriptions,C0179,Ferreira Ltda.,SMB,West,S020,Joana Vieira,Mid,2,3571.4,1678.56,1892.84,53.0
T00096,715,2023-12-16,2023,4,12,December,P012,Implementation,Services,C0110,Borges,Enterprise,East,S015,Liam da Cunha,Mid,2,11055.38,4532.71,6522.67,59.0
T00097,1050,2024-11-15,2024,4,11,November,P008,Monitor,Hardware,C0100,Machado das Neves - EI,SMB,South,S026,Vitor Hugo da Costa,Senior,15,44898.3,20204.24,24694.06,55.0
T00098,173,2022-06-22,2022,2,6,June,P002,CRM License,Software,C0063,Marques,SMB,Central,S022,Sr. Mateus Abreu,Mid,18,21635.64,11899.6,9736.04,45.0
T00099,326,2022-11-22,2022,4,11,November,P007,Server,Hardware,C0049,Araújo,Enterprise,West,S010,Dra. Clarice Moraes,Junior,9,18249.93,11679.96,6569.97,36.0
T00100,836,2024-04-15,2024,2,4,April,P004,Security Suite,Software,C0115,da Costa,SMB,Central,S011,Dr. Vitor Gabriel Caldeira,Mid,3,3975.96,1590.38,2385.58,60.0
T00101,724,2023-12-25,2023,4,12,December,P018,Enterprise Plan,Subscriptions,C0155,Ramos Aragão S/A,Enterprise,East,S005,Joaquim Casa Grande,Mid,4,7142.8,3357.12,3785.68,53.0
T00102,225,2022-08-13,2022,3,8,August,P006,Laptop,Hardware,C0137,Borges,Mid-Market,North,S009,Guilherme Alves,Mid,15,33564.75,10740.72,22824.03,68.0
T00103,532,2023-06-16,2023,2,6,June,P009,Printer,Hardware,C0167,Vargas,SMB,South,S029,Rhavi Fernandes,Junior,5,21826.35,8512.28,13314.07,61.0
